"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"126"	"ENSG00000106992"	5876	"AK1"	"9"	0.74	0.926	1.7403272331869	13.8624908932705	11.7419163829415
"127"	"ENSG00000134758"	5970	"RNF138"	"18"	0.725	0.936	1.09635258264207	2.67535470694	3.44297856155
"128"	"ENSG00000166676"	6166	"TVP23A"	"16"	0.86	0.95	3.64446322115715	3.660134646518	2.716873034401
"129"	"ENSG00000166793"	6174	"YPEL4"	"11"	0.644	0.909	1.27837204242601	10.769605414151	9.789444639014
"130"	"ENSG00000170231"	6187	"FABP6"	"5"	0.963	0.996	2.15918443412912	1.886383847218	4.389050289569
"131"	"ENSG00000176024"	6215	"ZNF613"	"19"	0.652	0.909	1.29005684060796	2.1801456302315	1.8784026080445
"132"	"ENSG00000185220"	6235	"PGBD2"	"1"	0.758	0.94	1.62634050824427	2.6106755991125	2.0765385213505
"133"	"ENSG00000185813"	6239	"PCYT2"	"17"	0.854	0.974	1.64667782196836	10.0383527817405	7.409964547328
"134"	"ENSG00000187456"	6252	"LHFPL3"	"7"	0.887	0.979	1.93691149026486	1.417686215556	0.442326751754
"135"	"ENSG00000188467"	6261	"SLC24A5"	"15"	0.743	0.951	1.24513118808913	3.2917906625135	2.1378095885295
"136"	"ENSG00000204219"	6296	"TCEA3"	"1"	0.861	0.985	1.73571275214729	1.919643389553	2.504528134462
"137"	"ENSG00000066230"	6331	"SLC9A3"	"5"	0.734	0.936	1.40104419601728	4.353147613422	6.0408459874095
"138"	"ENSG00000075073"	6337	"TACR2"	"10"	0.887	0.976	2.46776256450067	2.5637694807375	1.540895729312
"139"	"ENSG00000107165"	6371	"TYRP1"	"9"	0.817	0.96	1.73401003600593	1.2342008118735	1.9274879574145
"140"	"ENSG00000107593"	6401	"PKD2L1"	"10"	0.679	0.925	1.07163655340787	1.000266169807	1.885836029141
"141"	"ENSG00000107614"	6403	"TRDMT1"	"10"	0.649	0.912	1.14779654573262	1.54387489248	1.1920580066195
"142"	"ENSG00000122512"	6476	"PMS2"	"7"	0.78	0.946	1.6841173239212	5.055608111933	4.080743527049
"143"	"ENSG00000130312"	6484	"MRPL34"	"19"	0.72	0.927	1.69927106441329	10.8670356877115	9.746312835674
"144"	"ENSG00000136425"	6494	"CIB2"	"15"	0.951	0.998	2.96654623392929	6.278780374694	4.682677181015
"145"	"ENSG00000165698"	6665	"SPACA9"	"9"	0.744	0.912	2.59380840911565	5.245062619758	6.028789116015
"146"	"ENSG00000167740"	6680	"CYB5D2"	"17"	0.789	0.951	1.39439062427762	6.177751871937	7.9843426618565
"147"	"ENSG00000006530"	6825	"AGK"	"7"	0.743	0.924	1.98060278704605	6.889378874525	5.73886327753
"148"	"ENSG00000022556"	6837	"NLRP2"	"19"	0.789	0.956	0.963581874390525	0.8049392222505	1.853235876206
"149"	"ENSG00000110025"	6951	"SNX15"	"11"	0.001	0.93	0.0146821627813836	8.553116102535	10.4524696826935
"150"	"ENSG00000124659"	7003	"TBCC"	"6"	0.746	0.935	1.61358258278034	6.4694724375895	7.25418217735
"151"	"ENSG00000132471"	7032	"WBP2"	"17"	0.748	0.929	1.99973318085668	25.9885098908815	21.7995947201115
"152"	"ENSG00000137101"	7072	"CD72"	"9"	0.779	0.96	1.33743876784016	2.482886681236	3.9808604509505
"153"	"ENSG00000137124"	7073	"ALDH1B1"	"9"	0.925	0.988	2.79841395514269	5.0642349460875	3.47900715466
"154"	"ENSG00000137434"	7100	"C6orf52"	"6"	0.938	0.988	2.45432829381169	0.8662995567195	1.922761217963
"155"	"ENSG00000148450"	7131	"MSRB2"	"10"	0.768	0.923	2.92705064988459	9.1014387493265	10.49173677789
"156"	"ENSG00000149016"	7172	"TUT1"	"11"	0.941	0.991	1.97926758217522	8.6607849974615	14.6803188112155
"157"	"ENSG00000149243"	7182	"KLHL35"	"11"	0.793	0.967	1.43619662211913	3.0700981688975	4.3275898339345
"158"	"ENSG00000151687"	7215	"ANKAR"	"2"	0.713	0.938	1.13534657966431	1.088477494264	1.4314589966725
"159"	"ENSG00000160055"	7239	"TMEM234"	"1"	0.781	0.95	1.5859011920105	4.500632455023	3.623880452323
"160"	"ENSG00000165633"	7281	"VSTM4"	"10"	0.739	0.94	1.76500712223144	2.5437834794855	3.135181506764
"161"	"ENSG00000165646"	7282	"SLC18A2"	"10"	0.861	0.976	1.3485036590406	1.492590802633	2.9585579944055
"162"	"ENSG00000176125"	7490	"UFSP1"	"7"	0.739	0.92	2.29094210769273	4.010771071155	2.48268243421
"163"	"ENSG00000179862"	7521	"CITED4"	"1"	0.713	0.92	1.09269272159326	4.155963691756	6.0655320546655
"164"	"ENSG00000179958"	7522	"DCTPP1"	"16"	0.636	0.909	1.31588145208868	7.017265778421	6.206739168726
"165"	"ENSG00000187535"	7580	"IFT140"	"16"	0.769	0.93	2.70275582898682	4.8904385710625	3.944910146241
"166"	"ENSG00000056661"	7664	"RC3H2"	"9"	0.756	0.926	1.95434110862473	6.8056964749725	5.6155699908695
"167"	"ENSG00000065621"	7680	"GSTO2"	"10"	0.787	0.964	1.40414484872078	2.7569492833875	3.6117572129515
"168"	"ENSG00000079101"	7706	"CLUL1"	"18"	0.971	0.997	2.22567996759826	0.9366077941585	2.1621271271105
"169"	"ENSG00000111412"	7843	"C12orf49"	"12"	0.803	0.956	1.62473207366758	6.947310236502	5.5513783649165
"170"	"ENSG00000133121"	7943	"STARD13"	"13"	0.76	0.934	2.12643518776216	3.9860083140525	4.4844161459145
"171"	"ENSG00000135778"	8005	"NTPCR"	"1"	0.79	0.947	1.67794293602567	6.805811224091	5.8536514059855
"172"	"ENSG00000138801"	8047	"PAPSS1"	"4"	0.662	0.91	1.38240009923035	9.934284396531	11.049917291328
"173"	"ENSG00000139266"	8083	"42438"	"12"	0.679	0.901	1.5855740238187	6.245656301805	5.5226115367015
"174"	"ENSG00000150361"	8109	"KLHL1"	"13"	0.005	0.905	2.73165100714584	3.5313713391685	1.141907579765
"175"	"ENSG00000160862"	8135	"AZGP1"	"7"	0.838	0.974	1.78913643209935	2.33133550708	4.1712126024395
"176"	"ENSG00000165716"	8149	"FAM69B"	"9"	0.756	0.95	1.29705103911378	7.332853187643	5.1890782795885
"177"	"ENSG00000167371"	8174	"PRRT2"	"16"	0.00800000000000001	0.972	0.326629625327938	16.890504237769	10.502045189168
"178"	"ENSG00000171425"	8199	"ZNF581"	"19"	0.787	0.95	1.53845613284329	5.097177174687	6.376437378224
"179"	"ENSG00000185669"	8304	"SNAI3"	"16"	0.747	0.954	1.23928363323495	1.9237219692465	2.886810924342
"180"	"ENSG00000187994"	8319	"RINL"	"19"	0.75	0.933	1.82022827566607	2.4765799335215	3.101110591791
"181"	"ENSG00000188130"	8321	"MAPK12"	"22"	0.735	0.909	2.40855853772303	7.343786725409	5.7757431801325
"182"	"ENSG00000204653"	8357	"ASPDH"	"19"	0.966	0.995	2.56674880377703	4.0423316370875	7.2076056265845
"183"	"ENSG00000075407"	8374	"ZNF37A"	"10"	0.67	0.915	1.05702852768177	2.754622749836	3.3315461669635
